Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Neil Johnston*,C,23,PHW,70,,3166,504,1114,.452,,,,504,1114,.452,.452,556,794,.700,,,976,197,,,,248,1564
2,George Mikan*,C,28,MNL,70,,2651,500,1252,.399,,,,500,1252,.399,.399,442,567,.780,,,1007,201,,,,290,1442
3,Bob Cousy*,PG,24,BOS,71,,2945,464,1320,.352,,,,464,1320,.352,.352,479,587,.816,,,449,547,,,,227,1407
4,Ed Macauley*,C,24,BOS,69,,2902,451,997,.452,,,,451,997,.452,.452,500,667,.750,,,629,280,,,,188,1402
5,Dolph Schayes*,PF,24,SYR,71,,2668,375,1002,.374,,,,375,1002,.374,.374,512,619,.827,,,920,227,,,,271,1262
6,Bill Sharman*,SG,26,BOS,71,,2333,403,925,.436,,,,403,925,.436,.436,341,401,.850,,,288,191,,,,240,1147
7,Jack Nichols,PF,26,MLH,69,,2626,425,1170,.363,,,,425,1170,.363,.363,240,339,.708,,,533,196,,,,237,1090
8,Vern Mikkelsen*,PF,24,MNL,70,,2465,378,868,.435,,,,378,868,.435,.435,291,387,.752,,,654,148,,,,289,1047
9,Bob Davies*,PG,33,ROC,66,,2216,339,880,.385,,,,339,880,.385,.385,351,466,.753,,,195,280,,,,261,1029
10,Bobby Wanzer*,SG,31,ROC,70,,2577,318,866,.367,,,,318,866,.367,.367,384,473,.812,,,351,252,,,,206,1020
11,Carl Braun*,SG,25,NYK,70,,2316,323,807,.400,,,,323,807,.400,.400,331,401,.825,,,233,243,,,,287,977
12,Leo Barnhorst,SF,28,INO,71,,2871,402,1034,.389,,,,402,1034,.389,.389,163,259,.629,,,483,277,,,,245,967
13,Larry Foust,C,24,FTW,67,,2303,311,865,.360,,,,311,865,.360,.360,336,465,.723,,,769,151,,,,267,958
14,Paul Seymour,SG,25,SYR,67,,2684,306,798,.383,,,,306,798,.383,.383,340,416,.817,,,246,294,,,,210,952
15,Don Barksdale*,PF,29,BLB,65,,2298,321,829,.387,,,,321,829,.387,.387,257,401,.641,,,597,166,,,,273,899
16,Joe Graboski,C,23,INO,69,,2769,272,799,.340,,,,272,799,.340,.340,350,513,.682,,,687,156,,,,303,894
17,Arnie Risen*,C,28,ROC,68,,2288,295,802,.368,,,,295,802,.368,.368,294,429,.685,,,745,135,,,,274,884
18,Harry Gallatin*,PF,25,NYK,70,,2333,282,635,.444,,,,282,635,.444,.444,301,430,.700,,,916,126,,,,224,865
19,Jim Pollard*,SF,30,MNL,66,,2403,333,933,.357,,,,333,933,.357,.357,193,251,.769,,,452,231,,,,194,859
20,Joe Fulks*,PF,31,PHW,70,,2085,332,960,.346,,,,332,960,.346,.346,168,231,.727,,,387,138,,,,319,832
21,Mel Hutchins,C,24,MLH,71,,2891,319,842,.379,,,,319,842,.379,.379,193,295,.654,,,793,227,,,,214,831
22,Fred Scolari,PG,30,TOT,62,,2123,277,809,.342,,,,277,809,.342,.342,276,327,.844,,,209,233,,,,212,830
23,George King,PG,24,SYR,71,,2519,255,635,.402,,,,255,635,.402,.402,284,442,.643,,,281,364,,,,244,794
