Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jay Arnette,SG,26,CIN,63,,662,91,245,.371,,,,91,245,.371,.371,56,75,.747,,,62,68,,,,125,238
2,Al Attles*,PG,28,SFW,73,,1733,254,662,.384,,,,254,662,.384,.384,171,274,.624,,,239,205,,,,242,679
3,Jim Barnes,PF,23,NYK,75,,2586,454,1070,.424,,,,454,1070,.424,.424,251,379,.662,,,729,93,,,,312,1159
4,Dick Barnett,SG,28,LAL,74,,2026,375,908,.413,,,,375,908,.413,.413,270,338,.799,,,200,159,,,,209,1020
5,John Barnhill,SG,26,STL,41,,777,121,312,.388,,,,121,312,.388,.388,45,70,.643,,,91,76,,,,56,287
6,Elgin Baylor*,SF,30,LAL,74,,3056,763,1903,.401,,,,763,1903,.401,.401,483,610,.792,,,950,280,,,,235,2009
7,Zelmo Beaty*,C,25,STL,80,,2916,505,1047,.482,,,,505,1047,.482,.482,341,477,.715,,,966,111,,,,328,1351
8,Walt Bellamy*,C,25,BAL,80,,3301,733,1441,.509,,,,733,1441,.509,.509,515,752,.685,,,1166,191,,,,260,1981
9,Al Bianchi,PG,32,PHI,60,,1116,175,486,.360,,,,175,486,.360,.360,54,76,.711,,,95,140,,,,178,404
10,Bucky Bockhorn,SG,31,CIN,19,,424,60,157,.382,,,,60,157,.382,.382,28,39,.718,,,55,45,,,,52,148
11,Ron Bonham,SF,22,BOS,37,,369,91,220,.414,,,,91,220,.414,.414,92,112,.821,,,78,19,,,,33,274
12,Bob Boozer,SF,27,NYK,80,,2139,424,963,.440,,,,424,963,.440,.440,288,375,.768,,,604,108,,,,183,1136
13,Gary Bradds,SF,22,BAL,41,,335,46,111,.414,,,,46,111,.414,.414,45,63,.714,,,84,19,,,,36,137
14,Bill Bridges,PF,25,STL,79,,2362,362,938,.386,,,,362,938,.386,.386,186,275,.676,,,853,187,,,,276,910
15,Em Bryant,PG,26,NYK,77,,1332,145,436,.333,,,,145,436,.333,.333,87,133,.654,,,167,167,,,,212,377
16,Dave Budd,SF,26,NYK,62,,1188,196,407,.482,,,,196,407,.482,.482,121,170,.712,,,310,62,,,,147,513
17,Ed Burton,F,25,STL,7,,42,7,20,.350,,,,7,20,.350,.350,4,7,.571,,,13,2,,,,13,18
18,Donnie Butcher,PG,28,DET,71,,1157,143,353,.405,,,,143,353,.405,.405,126,204,.618,,,200,122,,,,183,412
19,Al Butler,PG,26,BAL,25,,172,24,73,.329,,,,24,73,.329,.329,11,15,.733,,,21,12,,,,25,59
20,Joe Caldwell,SF,23,DET,66,,1543,290,776,.374,,,,290,776,.374,.374,129,210,.614,,,441,118,,,,171,709
21,Wilt Chamberlain*,C,28,TOT,73,,3301,1063,2083,.510,,,,1063,2083,.510,.510,408,880,.464,,,1673,250,,,,146,2534
21,Wilt Chamberlain*,C,28,SFW,38,,1743,636,1275,.499,,,,636,1275,.499,.499,208,500,.416,,,893,117,,,,76,1480
21,Wilt Chamberlain*,C,28,PHI,35,,1558,427,808,.528,,,,427,808,.528,.528,200,380,.526,,,780,133,,,,70,1054
